"Fullscale_V9_DataCollectSweep1_041026: Design Number","Fullscale_V9_DataCollectSweep1_041026: BaseSize (m)","Fullscale_V9_DataCollectSweep1_041026: BEAVSExtension (mm)","Fullscale_V9_DataCollectSweep1_041026: BEAVSPosition (m)","Fullscale_V9_DataCollectSweep1_041026: FreestreamAltitude (ft)","Fullscale_V9_DataCollectSweep1_041026: FreestreamMach","Fullscale_V9_DataCollectSweep1_041026: FreestreamTemperature (C)","Fullscale_V9_DataCollectSweep1_041026: NumSteps","Fullscale_V9_DataCollectSweep1_041026: Cell Count","Fullscale_V9_DataCollectSweep1_041026: Center of Loads (m)","Fullscale_V9_DataCollectSweep1_041026: Drag BEAVS (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Camera Pod (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Center Body (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Coefficient","Fullscale_V9_DataCollectSweep1_041026: Drag Fins (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Nose (N)","Fullscale_V9_DataCollectSweep1_041026: Drag of all external components (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Tail & Base (N)","Fullscale_V9_DataCollectSweep1_041026: Total Solver CPU Time (s)","Fullscale_V9_DataCollectSweep1_041026: Total Solver Elapsed Time (s)"
227.0,0.03,5.0,1.23,3600.0,0.38,7.0,470.0,2403057.0,-0.4745244926252004,2.3425383468150143,1.911396679709417,11.434275447618894,0.9164020341953697,8.349615690449635,-127.11842525483077,44.380606191126276,147.46120528136407,20389.382135000007,2572.9266599380026
228.0,0.03,5.0,1.23,3600.0,0.39,7.0,470.0,2403073.0,-0.47503561943704853,2.5008134485509093,1.9980941408291102,12.12304581266482,0.9212085767796327,8.789700858912921,-126.94199861110121,46.99235200373812,148.5226963538815,20472.598646000002,2588.073424279002
229.0,0.03,5.0,1.23,3600.0,0.4,7.0,470.0,2403124.0,-0.4757358534235313,2.6390976508872925,2.101889380203782,12.660149946283992,0.9187446950318829,9.194630015773681,-126.75594549993825,49.30089862455006,149.46107713133958,31521.042028000003,4277.374755482001
230.0,0.03,5.0,1.23,3600.0,0.41,7.0,470.0,2403183.0,-0.4763972771054022,2.835668346489712,2.1845709220745104,13.546994598329025,0.9310598754383556,9.66518247564342,-126.57039702325596,52.491057710161186,150.82903839088053,20195.913245999996,2548.865810635
231.0,0.03,5.0,1.23,3600.0,0.42,7.0,470.0,2403237.0,-0.4770446870642374,2.922165043844524,2.314728036899383,13.73464525846737,0.9131027701905289,10.049709920439497,-126.36333905371791,54.020455499501566,151.3625462935687,21245.46010800004,2687.1610065179993
232.0,0.03,5.0,1.23,3600.0,0.43,7.0,470.0,2403326.0,-0.4778094432200795,3.1212057517801957,2.4105308822957654,14.575844245236546,0.9227959520030768,10.522798524010682,-126.16282822020038,57.22457490115508,152.75702371803231,20464.102841999997,2595.5370173150013
233.0,0.03,5.0,1.23,3600.0,0.4400000000000001,7.0,470.0,2403434.0,-0.47845714963439945,3.322418503573604,2.5063557848484637,15.449399327718773,0.9274869398603446,11.028893216817078,-125.9559355355757,60.22172021201494,153.87058891463275,29097.710065000014,3895.7879509140025
234.0,0.03,5.0,1.23,3600.0,0.4500000000000001,7.0,470.0,2403425.0,-0.4792100562182225,3.418107876383843,2.6504072926258857,15.626791521023389,0.9122345020459545,11.426302685756523,-125.72813076612212,61.95430960446973,154.5608309948022,21190.826568000033,2675.421812515999
235.0,0.03,5.0,1.23,3600.0,0.46,7.0,470.0,2403467.0,-0.47990146458141536,3.603339168909503,2.761424538172115,16.361374242995307,0.9131349055409154,11.929839364238699,-125.50532922811067,64.80232902765897,155.651680941454,21316.016992000023,2692.0727629470007
236.0,0.03,5.0,1.23,3600.0,0.47,7.0,470.0,2403530.0,-0.48068037267187463,3.7643843990829646,2.8907466993278153,16.905001058442643,0.9092785776209555,12.400623205244163,-125.27232924665618,67.364741997225,156.67631588178355,21334.849930999986,2709.1268132179976
237.0,0.03,5.0,1.23,3600.0,0.48,7.0,470.0,2403740.0,-0.48142513998840925,4.009985086800051,2.9902863534616198,17.960984607682267,0.9174328272002936,12.98055037356597,-125.04392789642436,70.89192133139417,157.99404280630864,20527.176253999995,2592.8963682259987
238.0,0.03,5.0,1.23,3600.0,0.49,7.0,470.0,2403728.0,-0.4822331743429743,4.2383481254549515,3.090870078783979,18.876216084239825,0.9234524416328929,13.528263027460731,-124.80704020868235,74.36124881458758,159.43459170733044,20531.739116000008,2599.154685419
239.0,0.03,5.0,1.23,3600.0,0.5,7.0,470.0,2403721.0,-0.48314910296214847,4.455026901875569,3.2094955399893244,19.712023215831366,0.927215838462303,14.060359914171034,-124.56230632607145,77.74292244259925,160.86832319680343,21291.753160999968,2706.7089338359992
240.0,0.03,5.0,1.23,3600.0,0.51,7.0,470.0,2403943.0,-0.4838761507129205,4.751757368205522,3.2804563910334013,20.988681887775417,0.9373297541654384,14.713553816385838,-124.32132720264208,81.7660022318936,162.35287997113548,30346.393457,4100.374111621001
241.0,0.03,5.0,1.23,3600.0,0.52,7.0,470.0,2403844.0,-0.48484992289660195,4.901246707802297,3.437836028061783,21.403428308329644,0.9311249026416251,15.185042383966831,-124.0550678220517,84.44124752992752,163.5687619238187,21485.714860999997,2710.706803781005
242.0,0.03,5.0,1.23,3600.0,0.53,7.0,470.0,2403986.0,-0.4857715163688416,5.078692113326153,3.5819069615082926,21.996016983329774,0.9265785758730531,15.699147097590036,-123.78497237684428,87.29190639966438,164.7211156207544,20607.288447,2604.4889834599994
243.0,0.03,5.0,1.23,3600.0,0.54,7.0,470.0,2404064.0,-0.48672800255312215,5.328956066493427,3.697575376344292,22.958221259560688,0.929324912797293,16.28535342100715,-123.51467010123851,90.88560409520329,166.13016807303623,21028.68486200001,2668.9379912660033
244.0,0.03,5.0,1.23,3600.0,0.55,7.0,470.0,2404041.0,-0.48772130381757334,5.463342718595962,3.8666498560023035,23.33362964810574,0.9213311603694943,16.753981281758165,-123.21854073201987,93.4719113209635,167.27284854852118,29152.304273000012,3912.1656501280063
245.0,0.03,5.0,1.23,3600.0,0.56,7.0,470.0,2404175.0,-0.4887609326785871,5.44976640547054,4.123587841555156,22.648481529470775,0.8901802564276049,17.082377943390696,-122.89542639340264,93.62547183846249,167.216684511978,22850.80438600002,2885.256969732
246.0,0.03,5.0,1.23,3600.0,0.5700000000000001,7.0,470.0,2404232.0,-0.48983395563503723,5.616693247927815,4.291974244328658,23.107195165012982,0.8842224204183655,17.59875149238469,-122.5812577391654,96.34989320403913,168.3165367935504,22642.843173999976,2866.7198098529993
247.0,0.03,5.0,1.23,3600.0,0.58,7.0,470.0,2404378.0,-0.4909941069910945,5.732784822769176,4.489821215224413,23.162182234144616,0.8656711924409118,18.054858953780943,-122.24340725165446,97.66724939936151,168.47100942509678,22918.037313999972,2917.398203736005
248.0,0.03,5.0,1.23,3600.0,0.59,7.0,470.0,2404355.0,-0.4921266126807798,5.920264674199927,4.66287861146494,23.672840492172934,0.8597948724601572,18.588894434114785,-121.89277131444103,100.378073249432,169.4259663519205,22026.70357400001,2782.031112339006
249.0,0.03,5.0,1.23,3600.0,0.6,7.0,470.0,2404481.0,-0.4933168813412056,6.118540026328277,4.839397650343523,24.266116545262538,0.8584570007007627,19.13875833702368,-121.51356598889558,103.64802678648981,170.79878021642736,20872.299949999993,2636.069340635002
250.0,0.03,5.0,1.23,3600.0,0.61,7.0,470.0,2404548.0,-0.49458044665543804,6.281825040490026,5.032654711222244,24.615869780204115,0.8456507624459295,19.649324617712587,-121.08359626826346,105.53359182051732,171.03751393915178,21855.148521999996,2771.6617067349966
251.0,0.03,5.0,1.23,3600.0,0.62,7.0,470.0,2404566.0,-0.4957702549238305,6.544458437955331,5.183862780346925,25.549874644037363,0.8536526421681776,20.292234921280844,-120.58405385019624,110.0536786075727,173.06730167414852,31032.358999999953,4190.053332648994
252.0,0.03,5.0,1.23,3600.0,0.63,7.0,470.0,2405040.0,-0.49704492054154464,6.7960375515062275,5.3369352687479,26.371720674953647,0.8576169528250115,20.90898619810333,-119.90277338965888,114.16012812898666,174.64922182533442,21684.598975999983,2736.143972135003
253.0,0.03,5.0,1.23,3600.0,0.64,7.0,470.0,2404817.0,-0.4985688376896289,6.881047114751704,5.578569560813891,26.24982735008464,0.8406219960922223,21.395788875225367,-118.76494629636406,115.47838158650018,174.13809498198864,21065.095315000028,2656.2379099529967
