"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
78.0,15.0,1.4,3600.0,0.87,7.0,470.0,1307912.0,-0.7857620859708632,26.44741371914547,27.041172375497986,1.081510066032406,25.401215541423753,-4.890979096111036,274.54217849257213,200.543355952616,14323.603598000005,1805.8480411580008
79.0,15.0,1.4,3600.0,0.88,7.0,470.0,1319080.0,-0.7895246081855172,26.415876555875535,27.264155494627765,1.1006979289017838,26.547507754132575,3.488792679354919,285.87323384736163,202.15690136337082,19164.255276999986,2517.971552157
80.0,15.0,1.4,3600.0,0.89,7.0,470.0,1313703.0,-0.7966997944173748,33.37995978331592,34.41732146026365,1.1870275350828998,28.330121717039148,12.064805445512171,315.3412473916611,207.1490389855302,18161.733963000002,2383.335202371998
81.0,15.0,1.4,3600.0,0.9,7.0,470.0,1319659.0,-0.7988689415223714,33.027296060216315,38.766137187518154,1.2311296896200137,29.300981481064717,21.2389907136994,334.4481699953536,212.1147645528551,12942.957794999997,1632.8522973350011
82.0,15.0,1.4,3600.0,0.91,7.0,470.0,1327893.0,-0.8036524617412356,34.9392779742979,40.50418307037712,1.2704064694982944,31.741048314229964,30.823428139030526,352.8299639611349,214.82202646319948,13167.029258000006,1663.211602311
83.0,15.0,1.4,3600.0,0.92,7.0,470.0,1337423.0,-0.8094062918584798,36.57597097646609,42.00443351473098,1.310025600494947,35.110571511779376,40.71477792066302,371.87368255358535,217.46792862994587,17256.216977999986,2286.7049904449973
84.0,15.0,1.4,3600.0,0.93,7.0,470.0,1347802.0,-0.8152709774483433,38.02557232195817,43.29675035270742,1.353017710912984,40.15587295589708,51.02666981030623,392.4726237995147,219.9677583586458,15656.110149999975,2036.3132339799977
85.0,15.0,1.4,3600.0,0.94,7.0,470.0,1363080.0,-0.8215419348549234,39.4680213380394,44.39087471707378,1.4023146434048748,47.69178230602945,61.76959817451256,415.5670945160199,222.24681798036477,13324.544501,1678.695525473999
86.0,15.0,1.4,3600.0,0.95,7.0,470.0,1376483.0,-0.8271480439816256,40.882470441367595,45.38658548593502,1.447678993147254,53.85609370827999,72.89957910612341,438.1870014152351,225.16227267352906,14812.209048000002,1874.9808000739986
87.0,15.0,1.4,3600.0,0.96,7.0,470.0,1397532.0,-0.8357228574723525,42.33758239895925,46.322620738092326,1.4900371160479076,57.46260025320049,84.46321501680721,460.55292934777106,229.96691094071187,14949.394749999992,1890.7427329260004
88.0,15.0,1.4,3600.0,0.97,7.0,470.0,1411674.0,-0.8497795249046041,43.996909798540216,47.25207079876834,1.5335154509436746,58.96613644873196,96.49820362386795,483.9178167262446,237.2044960563362,16715.292230999996,2165.126558013999
89.0,15.0,1.4,3600.0,0.98,7.0,470.0,1428157.0,-0.8666842217104324,45.89678774161119,48.22479096368299,1.5828472892478347,59.54770043843546,109.01182443609969,509.8367638862982,247.15566030646886,14704.27412499999,1855.5137359010002
90.0,15.0,1.4,3600.0,0.99,7.0,470.0,1441003.0,-0.888468210897873,46.51391168186123,49.22668538747301,1.6549904267731224,60.160908086821195,121.96970570882694,544.0087071459516,266.13749628096923,20144.275348999978,2687.131107346003
91.0,15.0,1.4,3600.0,1.0,7.0,470.0,1444998.0,-0.9114149408071296,46.98629342158814,50.14098790702094,1.7350414177044748,60.56946947261022,135.15149258995538,581.9020114884738,289.05376809729916,15312.81535600001,1928.5757195060014
92.0,15.0,1.4,3600.0,1.01,7.0,470.0,1438683.0,-0.921922740841652,51.75513403363601,51.75170864099029,1.7587133243784352,61.60939750663454,148.98158193658352,601.6969515043945,287.59912938655015,16053.718302000003,2021.2574683699986
93.0,15.0,1.4,3600.0,1.02,7.0,470.0,1435932.0,-0.8730944867722896,52.726222112657005,53.12978080616634,1.64938764432875,60.82933203557274,162.60616375926705,575.5235367622348,246.23203804857167,19160.52455900001,2502.6279568310006
94.0,15.0,1.4,3600.0,1.03,7.0,470.0,1461589.0,-0.8451163422832826,53.07466090507962,53.82845906987348,1.7888168117997634,59.13001778572716,175.923069089437,636.4735009939216,294.51729414380435,20915.06882899998,2797.4058361429984
95.0,15.0,1.4,3600.0,1.04,7.0,470.0,1465148.0,-0.8593860417132602,53.848135991642366,54.696891016807726,1.8491356235616134,59.78029772120501,189.2278521364522,670.7728188241581,313.2196419580508,14603.930967999995,1838.5740990380011
96.0,15.0,1.4,3600.0,1.05,7.0,470.0,1473814.0,-0.8686586361100929,54.24253653473411,55.58242304427913,1.8470467214904613,60.0239488127232,202.46787781200018,682.9618718149588,310.64508561122227,14848.10055999999,1869.3441016320014
97.0,15.0,1.4,3600.0,1.06,7.0,470.0,1476750.0,-0.8697706573243036,54.49060401926207,56.43867969676138,1.8435614687977546,59.9375376139752,216.27947324829765,694.7192579957493,307.57296341745297,20339.720439999986,2701.8319903699967
98.0,15.0,1.4,3600.0,1.07,7.0,470.0,1482214.0,-0.8675696668018829,54.99675269896176,57.47622697449626,1.8513957985682985,59.680183884782565,230.67072332196742,710.8972275707034,308.07334069049546,14621.156715999996,1846.1832987219984
