"SupSonicSweep2_012726: Design Number","SupSonicSweep2_012726: BEAVSExtension (mm)","SupSonicSweep2_012726: BEAVSPosition (m)","SupSonicSweep2_012726: FreestreamAltitude (ft)","SupSonicSweep2_012726: FreestreamMach","SupSonicSweep2_012726: FreestreamTemperature (C)","SupSonicSweep2_012726: NumSteps","SupSonicSweep2_012726: Cell Count","SupSonicSweep2_012726: Center of Loads (m)","SupSonicSweep2_012726: Drag BEAVS (N)","SupSonicSweep2_012726: Drag Center Body (N)","SupSonicSweep2_012726: Drag Coefficient","SupSonicSweep2_012726: Drag Fins (N)","SupSonicSweep2_012726: Drag Nose (N)","SupSonicSweep2_012726: Drag of all external components (N)","SupSonicSweep2_012726: Drag Tail & Base (N)","SupSonicSweep2_012726: Total Solver CPU Time (s)","SupSonicSweep2_012726: Total Solver Elapsed Time (s)"
15.0,0.0,1.4,3600.0,0.24,7.0,470.0,1240768.0,-0.7016113864495275,0.023205185777836906,4.8370646952644805,0.8211401649232299,2.4359706554743314,-128.96232123047488,15.86279732093039,137.52887801488862,13815.102860000006,1736.4216367130007
16.0,0.0,1.4,3600.0,0.25,7.0,470.0,1240800.0,-0.7019998125914673,0.023671955361296862,5.141736132946953,0.8069769932928011,2.6182774733216316,-128.86160700639581,16.915357568354004,137.99327901311995,13313.765347999995,1678.6537875669983
17.0,0.0,1.4,3600.0,0.26,7.0,470.0,1240834.0,-0.7024092125220721,0.02438124830367911,5.536972933825027,0.8093629304568246,2.814918862950865,-128.75661384519088,18.34974431420524,138.73008511431655,13542.226283000013,1704.2184597710002
18.0,0.0,1.4,3600.0,0.27,7.0,470.0,1240914.0,-0.702812581782454,0.02487340762216204,5.856231850168335,0.8001611327165026,3.0152311517588215,-128.64569839740486,19.56342903300174,139.31279102085728,13792.317203,1733.819190890998
19.0,0.0,1.4,3600.0,0.28,7.0,470.0,1240916.0,-0.7032522529454373,0.025486849112659898,6.2256255550845125,0.7979555654013958,3.220507327623073,-128.52998330048123,20.981415218263884,140.03977878692484,13620.343048999994,1712.0709123860013
20.0,0.0,1.4,3600.0,0.29,7.0,470.0,1240969.0,-0.7037083962994366,0.025988406261040622,6.5575240523216305,0.7910083027774625,3.429327659440422,-128.408392775563,22.310897561028987,140.70645021856888,13982.390864999981,1763.852666729001
21.0,0.0,1.4,3600.0,0.3,7.0,470.0,1241085.0,-0.7041593590828845,0.026315814174973914,6.797531084249383,0.7730566372703371,3.6297965720499437,-128.2801699606698,23.334248244775907,141.16077473497143,14167.60082,1782.5068032859976
22.0,0.0,1.4,3600.0,0.31,7.0,470.0,1241250.0,-0.7046526767240885,0.027137440080148418,7.287606466115705,0.7784272846818179,3.8623525753802728,-128.1481249580014,25.088889196825292,142.05991767325057,13877.904213000016,1744.5278206469989
23.0,0.0,1.4,3600.0,0.32,7.0,470.0,1241419.0,-0.7051155308586975,0.027795689979018007,7.666436927963441,0.7645002103736889,4.081111246921454,-128.00868761586491,26.255334569786584,142.48867832078756,13735.954611000001,1727.249209088001
24.0,0.0,1.4,3600.0,0.33,7.0,470.0,1241477.0,-0.7056207417731633,0.028457927998985375,8.076458398581195,0.763123052570825,4.316093526986897,-127.86231024783287,27.87163549545572,143.31293588972153,14317.193085999992,1808.0225287869982
25.0,0.0,1.4,3600.0,0.34,7.0,470.0,1241541.0,-0.706158993707252,0.029569415944967575,8.707400412394929,0.7743866644286512,4.572271411640605,-127.71078897499265,30.023110174767382,144.42465790977954,18077.58775500002,2389.691401094001
26.0,0.0,1.4,3600.0,0.35,7.0,470.0,1241654.0,-0.7067234867881301,0.03011243773559371,9.057533087493697,0.7674156860056338,4.805301435779451,-127.54887805259017,31.52874874187652,145.18467983345792,13642.960598999987,1716.0701971009983
27.0,0.0,1.4,3600.0,0.36,7.0,470.0,1241710.0,-0.7072831696510845,0.0308731012466763,9.548968606319479,0.7682875672919494,5.061147183510777,-127.37980182772118,33.39402660861896,146.1328395452632,13646.338839999986,1716.5024502960007
28.0,0.0,1.4,3600.0,0.37,7.0,470.0,1241861.0,-0.7078763868942267,0.03152689691860651,9.972054570105044,0.7647573466196076,5.310515508829628,-127.20190370938273,35.11293281900798,147.00073955253742,21265.43178199999,2835.9872346439997
